global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far,episode_success_rate_so_far
1180000,4,173464,400000,0.3025677552238806,142633.68634963036,0.0023496503340197125,0.5786157358299129
1185000,4,178464,400000,0.2996125313432836,146613.8745484352,0.002351649981010161,0.5778476331360947
1190000,4,183464,400000,0.2966573074626866,150774.41604721546,0.002350747596556233,0.5776610125147168
1195000,4,188464,400000,0.2937020835820895,154764.71442961693,0.002346590214220482,0.5768740979709652
1200000,4,193464,400000,0.2907468597014926,158839.72139155865,0.002348602690793154,0.5764741760741017
1205000,4,198464,400000,0.2877916358208955,163065.31795978546,0.002346382931481962,0.5765529264753305
1210000,4,203464,400000,0.2848364119402985,167335.18062996864,0.0023430540929113845,0.5767457633782881
1215000,4,208464,400000,0.2818811880597014,171307.74264526367,0.0023369659648642856,0.5760035305856167
1220000,4,213464,400000,0.27892596417910454,175519.03329491615,0.002331497416585721,0.5759472323202038
1225000,4,218464,400000,0.27597074029850743,179648.20329594612,0.0023282458484750316,0.575719569356965
1230000,4,223464,400000,0.27301551641791044,183912.27568221092,0.002324013093321912,0.575985393620449
1235000,4,228464,400000,0.27006029253731334,188324.58068311214,0.0023187077482381417,0.5766597800966454
1240000,4,233464,400000,0.26710506865671646,192567.39614665508,0.0023141312818696297,0.5766242332865024
1245000,4,238464,400000,0.26414984477611936,196581.22234737873,0.0023119453242543874,0.5760701825013419
1250000,4,243464,400000,0.26119462089552237,200791.76162993908,0.0023080606410239555,0.5760235599513686
1255000,4,248464,400000,0.2582393970149254,205199.3629233837,0.002305420447069727,0.5765784982935154
1260000,4,253464,400000,0.2552841731343284,209314.75059223175,0.0023025793109080635,0.5762909131079759
1265000,4,258464,400000,0.2523289492537313,213371.36770129204,0.002301068598570536,0.5759332053980438
1270000,4,263464,400000,0.2493737253731343,217840.94007968903,0.0022979614896138103,0.5766594297513132
1275000,4,268464,400000,0.2464185014925373,222277.13800895214,0.0022941751161123865,0.5772505810834972
1280000,4,273464,400000,0.2434632776119403,226604.4740922451,0.0022896285864356875,0.5775129450311558
1285000,4,278464,400000,0.24050805373134332,231110.80060267448,0.0022862995517233865,0.5782399161112388
1290000,4,283464,400000,0.23755282985074633,235495.08002698421,0.0022849880114758805,0.5786166850111478
1295000,4,288464,400000,0.23459760597014934,239616.92982161045,0.002282960384586278,0.5783459981141494
1300000,4,293464,400000,0.23164238208955223,244226.46709394455,0.002281893876828167,0.579151105416678
1305000,4,298464,400000,0.22868715820895524,248779.24180030823,0.00227808795187104,0.5798354240377399
1310000,4,303464,400000,0.22573193432835825,253346.81048095226,0.002275180451724624,0.5805630980940079
1315000,4,308464,400000,0.22277671044776126,257729.32325530052,0.002273423101436462,0.5807582084132994
1320000,4,313464,400000,0.21982148656716416,262099.24512124062,0.002270228099859026,0.5808641502692494
1325000,4,318464,400000,0.21686626268656717,266686.0107398033,0.00226681681992104,0.58156023914791
1330000,4,323464,400000,0.21391103880597018,271165.3882960081,0.002264979529652253,0.5819472955259318
1335000,4,328464,400000,0.2109558149253732,275567.6771491766,0.0022618125076209,0.5822464562326465
1340000,4,333464,400000,0.20800059104477608,280195.2795114517,0.00225891127833189,0.5829384881126598
1345000,5,2952,400000,0.2050453671641792,2859.357047557831,0.0020608713305253993,0.681910569105691
1350000,5,7952,400000,0.2020901432835821,7723.271377921104,0.00217330786403496,0.6898893360160966
1355000,5,12952,400000,0.1991349194029851,12346.35980463028,0.0022021702641407386,0.6768838789376158
1360000,5,17952,400000,0.196179695522388,17890.240316987038,0.0021897617124119416,0.7065508021390374
1365000,5,22952,400000,0.19322447164179113,22520.50591635704,0.0022288423522818664,0.6947542697804113
1370000,5,27952,400000,0.19026924776119403,26608.086260437965,0.0022336836339282365,0.6740483686319405
1375000,5,32952,400000,0.18731402388059704,30635.185587525368,0.0022430496080077618,0.6583515416363195
1380000,5,37952,400000,0.18435880000000004,34657.745935320854,0.00224003106162069,0.646606239460371
1385000,5,42952,400000,0.18140357611940305,38881.50458288193,0.0022546067952286205,0.6405988079716893
1390000,5,47952,400000,0.17844835223880595,42963.76421880722,0.00224827215651369,0.6341132799466133
1395000,5,52952,400000,0.17549312835820896,47158.20198786259,0.0022481119108312487,0.6300234174346578
1400000,5,57952,400000,0.17253790447761197,51474.21227490902,0.002277802086567696,0.6279852291551629
1405000,5,62952,400000,0.16958268059701498,55527.27463006973,0.0022768739208031885,0.6236338797814208
1410000,5,67952,400000,0.16662745671641788,59742.397475242615,0.002275026651700047,0.6215122439368966
1415000,5,72952,400000,0.16367223283582089,63880.92859530449,0.0022632924912273917,0.6193798662134006
1420000,5,77952,400000,0.1607170089552239,68208.87414121628,0.0022553827341933994,0.6189963054187192
1425000,5,82952,400000,0.1577617850746269,72347.75218784809,0.00224745461915785,0.6170435914745878
1430000,5,87952,400000,0.1548065611940298,76691.72255969048,0.002233926592752056,0.6167341277060214
1435000,5,92952,400000,0.15185133731343292,80994.39562392235,0.002223216588043877,0.6162535502194681
1440000,5,97952,400000,0.14889611343283582,86509.77754867077,0.0022179106208928077,0.6245610094740282
1445000,5,102952,400000,0.14594088955223883,92099.77892434597,0.0022115965609312243,0.6326831921672236
1450000,5,107952,400000,0.14298566567164173,96534.76022088528,0.0022110297508184684,0.6324477545575812
1455000,5,112952,400000,0.14003044179104485,101331.00828158855,0.002205616206095422,0.6343402507259721
1460000,5,117952,400000,0.13707521791044774,106099.21545290947,0.002201802230847613,0.6360129544221378
1465000,5,122952,400000,0.13411999402985075,110770.02153086662,0.0021969133441246116,0.6367444205868957
1470000,5,127952,400000,0.13116477014925376,115425.17361557484,0.0021973637752066544,0.6373093034888083
